episode:0, score:5.836531840000003, epsilon:1.0, global step:119, avg_qmax:0.00019271870218779273, memory:119
episode:1, score:6.370897280000001, epsilon:1.0, global step:262, avg_qmax:0.0001197284215516708, memory:262
episode:2, score:8.1814336, epsilon:1.0, global step:439, avg_qmax:0.00018571559323935497, memory:439
episode:3, score:7.295249920000003, epsilon:1.0, global step:603, avg_qmax:0.000164161149316941, memory:603
episode:4, score:7.169126400000001, epsilon:1.0, global step:774, avg_qmax:0.00023520166133382365, memory:774
episode:5, score:6.719396480000001, epsilon:1.0, global step:936, avg_qmax:0.00012623010848017904, memory:936
episode:6, score:7.574049280000002, epsilon:1.0, global step:1099, avg_qmax:0.00016540975033745625, memory:1099
episode:7, score:7.1226598400000025, epsilon:1.0, global step:1256, avg_qmax:0.0002495023944190107, memory:1256
episode:8, score:5.61083712, epsilon:1.0, global step:1383, avg_qmax:0.00018062400425430575, memory:1383
episode:9, score:6.805691520000002, epsilon:1.0, global step:1547, avg_qmax:0.00018030293368657868, memory:1547
episode:10, score:3.27091392, epsilon:1.0, global step:1635, avg_qmax:0.0001939887643257779, memory:1635
episode:11, score:4.771120000000002, epsilon:1.0, global step:1742, avg_qmax:0.00024958475342343525, memory:1742
episode:12, score:5.5925824, epsilon:1.0, global step:1868, avg_qmax:0.0001094342196882367, memory:1868
episode:13, score:6.508637440000002, epsilon:1.0, global step:2030, avg_qmax:0.00014240310972750363, memory:2030
episode:14, score:6.8704127999999995, epsilon:1.0, global step:2203, avg_qmax:0.00024144403854566034, memory:2203
episode:15, score:4.68316544, epsilon:1.0, global step:2320, avg_qmax:0.0002340324348411881, memory:2320
episode:16, score:6.279623680000001, epsilon:1.0, global step:2472, avg_qmax:0.00016178646874203352, memory:2472
episode:17, score:6.646377600000002, epsilon:1.0, global step:2632, avg_qmax:0.00017519006203770005, memory:2632
episode:18, score:7.9109318400000035, epsilon:1.0, global step:2836, avg_qmax:0.00020111736440929804, memory:2836
episode:19, score:5.285571200000002, epsilon:1.0, global step:2951, avg_qmax:8.215154490323546e-05, memory:2951
episode:20, score:7.6420896, epsilon:1.0, global step:3120, avg_qmax:0.00012046341161020087, memory:3120
